feature,importance
cat__director_name_Robert Schwentke,2.8911579967680673e-05
cat__director_name_Ridley Scott,2.8842399726404662e-05
cat__actor_2_name_Julia Roberts,2.848006452419804e-05
cat__actor_1_name_George Kennedy,2.8458707534219856e-05
cat__actor_1_name_Julia Roberts,2.8014813449641535e-05
cat__genres_Adventure|Comedy|Family,2.8002731551649215e-05
cat__actor_1_name_Robin Williams,2.790912860588944e-05
cat__director_name_Cameron Crowe,2.7679841945184738e-05
cat__actor_1_name_Kevin Spacey,2.750253642155523e-05
cat__director_name_Malcolm D. Lee,2.731383494460278e-05
cat__genres_Action|Adventure|Comedy|Thriller,2.6938834016194457e-05
cat__genres_Action|Drama|Thriller|War,2.6865847687895065e-05
cat__genres_Comedy|Fantasy|Horror|Thriller,2.662010351665445e-05
cat__director_name_Kevin Smith,2.6276761580880137e-05
cat__genres_Action|Sci-Fi,2.620178008447975e-05
cat__director_name_Danny Boyle,2.6152398077243267e-05
cat__actor_1_name_Costas Mandylor,2.6011064129469427e-05
cat__actor_2_name_Salma Hayek,2.594420321932055e-05
cat__actor_1_name_Chazz Palminteri,2.5917730909580065e-05
cat__genres_Sci-Fi|Thriller,2.58547059899095e-05
cat__director_name_Frank Oz,2.5833022554876483e-05
cat__genres_Biography|Drama|History|Romance,2.5798043289018413e-05
cat__director_name_Richard Lester,2.56393502401386e-05
cat__actor_3_name_Michael Wincott,2.5489341655811613e-05
cat__actor_2_name_Rip Torn,2.537169009952019e-05
cat__director_name_Richard Donner,2.5245098301350495e-05
cat__genres_Comedy|Drama|Family,2.4941813817296244e-05
cat__actor_2_name_Kristin Scott Thomas,2.481503302627893e-05
cat__actor_1_name_Christopher Lee,2.4745442759285155e-05
cat__genres_Comedy|Crime|Drama|Thriller,2.455878950978906e-05
cat__genres_Crime|Drama|Romance,2.4441394966765645e-05
cat__genres_Drama|Romance|Sci-Fi,2.435100012121411e-05
cat__country_Brazil,2.4012048091897143e-05
cat__director_name_David Cronenberg,2.3983944351291807e-05
cat__actor_3_name_Steve Coogan,2.3916192413763748e-05
cat__genres_Adventure|Animation|Family|Fantasy,2.3802786068107253e-05
cat__country_Sweden,2.3788834356132578e-05
cat__genres_Comedy|Drama|Sport,2.3749337944028907e-05
cat__director_name_Adam Shankman,2.3701934945677975e-05
cat__genres_Action|Adventure|Drama|Romance,2.3569464595132586e-05
cat__director_name_Barry Levinson,2.3503969581267103e-05
cat__actor_1_name_Natasha Lyonne,2.3483095139845192e-05
cat__director_name_Ron Howard,2.3460303027544262e-05
cat__actor_1_name_Samantha Morton,2.345909621550431e-05
cat__actor_1_name_Natalie Portman,2.29727297223073e-05
cat__director_name_Barry Sonnenfeld,2.288055372329872e-05
cat__director_name_John McTiernan,2.2456635379098313e-05
cat__actor_1_name_Jimmy Bennett,2.225357469540783e-05
cat__actor_1_name_Minnie Driver,2.220587258307677e-05
cat__actor_1_name_Anne Hathaway,2.204974733047668e-05
cat__genres_Comedy|Fantasy|Horror,2.191627988977245e-05
cat__actor_1_name_Chris Evans,2.1910939587897106e-05
cat__actor_1_name_Kate Winslet,2.1618602912264847e-05
cat__actor_3_name_Hope Davis,2.1553952263455076e-05
cat__actor_1_name_Don Cheadle,2.1477503713240523e-05
cat__director_name_Martin Scorsese,2.1384845240266437e-05
cat__actor_1_name_Tom Hardy,2.129773972478851e-05
cat__actor_1_name_Bradley Cooper,2.1279633610738615e-05
cat__actor_1_name_Viggo Mortensen,2.1179754793286692e-05
cat__genres_Crime|Horror|Thriller,2.1169745983470874e-05
cat__genres_Action|Crime|Sci-Fi|Thriller,2.1064472623869884e-05
cat__genres_Action|Adventure|Drama|Thriller,2.0968171939779746e-05
cat__actor_2_name_John Heard,2.0956007659415203e-05
cat__genres_Comedy|Drama|Romance|Sport,2.0858993975968566e-05
cat__actor_2_name_Mako,2.0820440659349532e-05
cat__language_German,2.077850350844828e-05
cat__actor_1_name_Jet Li,2.0764745982365954e-05
cat__director_name_Peter Berg,2.0657621913989575e-05
cat__actor_1_name_Logan Lerman,2.0605163644284247e-05
cat__actor_1_name_Kevin Zegers,2.024080566095344e-05
cat__actor_1_name_Daniel Radcliffe,1.9932232142772824e-05
cat__actor_3_name_Jose Pablo Cantillo,1.9924107892296433e-05
cat__genres_Animation|Comedy|Family,1.9905968937984334e-05
cat__director_name_John Madden,1.984708114105884e-05
cat__country_South Africa,1.9804111805980116e-05
cat__genres_Fantasy|Horror|Mystery|Thriller,1.978949840507478e-05
cat__director_name_Ang Lee,1.975335984201907e-05
cat__actor_2_name_Tom Wilkinson,1.9677476064238135e-05
cat__actor_1_name_Ed Begley Jr.,1.939844749797386e-05
cat__actor_2_name_Meryl Streep,1.9394583467598493e-05
cat__actor_1_name_Kirsten Dunst,1.9195256040079297e-05
cat__actor_2_name_Zooey Deschanel,1.914911304291463e-05
cat__director_name_Martin Campbell,1.909397056900921e-05
cat__director_name_Rob Reiner,1.8998570511901786e-05
cat__actor_1_name_Al Pacino,1.890312945328333e-05
cat__actor_2_name_Jim Broadbent,1.8865149162867035e-05
cat__director_name_Clint Eastwood,1.883227977531957e-05
cat__director_name_Guillermo del Toro,1.877341976086746e-05
cat__genres_Adventure|Fantasy,1.8459042265560864e-05
cat__actor_1_name_LL Cool J,1.8337340022664522e-05
cat__director_name_Robert Zemeckis,1.8182585709935193e-05
cat__content_rating_infrequent_sklearn,1.8038031544985007e-05
cat__actor_2_name_Michael Fassbender,1.8030159666185277e-05
cat__actor_1_name_Adam Scott,1.7905068717418747e-05
cat__actor_2_name_Spencer Wilding,1.7823870540364847e-05
cat__actor_2_name_Stephen Root,1.7774251170624334e-05
cat__actor_1_name_Jeremy Renner,1.7705762576824743e-05
cat__genres_Western,1.7700833816916347e-05
cat__actor_1_name_Joe Mantegna,1.7595473410243634e-05
cat__director_name_James Wan,1.7572034147455182e-05
cat__country_Denmark,1.7419429699911873e-05
cat__genres_Adventure|Animation|Family,1.7338711394862505e-05
cat__genres_Drama|Mystery|Romance|Thriller,1.7337882277493197e-05
cat__director_name_Francis Ford Coppola,1.733060665947332e-05
cat__actor_1_name_Jon Lovitz,1.728548714043105e-05
cat__director_name_Jon Turteltaub,1.7274278750093386e-05
cat__actor_1_name_Anna Kendrick,1.704573112815225e-05
cat__actor_1_name_Dominic Cooper,1.6954473304619978e-05
